"tap_sec","group_member","condition","group_number","trial"
"3.682177",3,"subgroup_loner",1,0
"3.764535",1,"subgroup_loner",1,0
"4.029025",2,"subgroup_loner",1,0
"4.284444",1,"subgroup_loner",1,0
"4.984671",1,"subgroup_loner",1,0
"5.658413",1,"subgroup_loner",1,0
"5.711746",3,"subgroup_loner",1,0
"6.077097",2,"subgroup_loner",1,0
"3.993469",3,"subgroup_loner",1,1
"4.095057",2,"subgroup_loner",1,1
"4.837007",1,"subgroup_loner",1,1
"5.398640",2,"subgroup_loner",1,1
"5.503492",3,"subgroup_loner",1,1
"6.040091",1,"subgroup_loner",1,1
"6.549479",3,"subgroup_loner",1,1
"6.582131",2,"subgroup_loner",1,1
"7.282358",1,"subgroup_loner",1,1
"7.763447",2,"subgroup_loner",1,1
"7.886440",3,"subgroup_loner",1,1
"8.508662",1,"subgroup_loner",1,1
"9.076463",2,"subgroup_loner",1,1
"9.093878",3,"subgroup_loner",1,1
"9.853605",1,"subgroup_loner",1,1
"10.447165",2,"subgroup_loner",1,1
"10.560000",3,"subgroup_loner",1,1
"11.013878",1,"subgroup_loner",1,1
"11.498231",2,"subgroup_loner",1,1
"11.677823",3,"subgroup_loner",1,1
"12.273561",1,"subgroup_loner",1,1
"12.810521",3,"subgroup_loner",1,1
"12.840635",2,"subgroup_loner",1,1
"13.475555",1,"subgroup_loner",1,1
"14.092336",2,"subgroup_loner",1,1
"14.161996",3,"subgroup_loner",1,1
"14.618413",1,"subgroup_loner",1,1
"15.230839",2,"subgroup_loner",1,1
"15.287075",3,"subgroup_loner",1,1
"15.842540",1,"subgroup_loner",1,1
"16.447348",3,"subgroup_loner",1,1
"16.465124",2,"subgroup_loner",1,1
"17.002087",1,"subgroup_loner",1,1
"17.589842",2,"subgroup_loner",1,1
"17.752745",3,"subgroup_loner",1,1
"18.265034",1,"subgroup_loner",1,1
"2.757007",2,"subgroup_loner",1,2
"2.816145",3,"subgroup_loner",1,2
"3.629932",1,"subgroup_loner",1,2
"4.164717",3,"subgroup_loner",1,2
"4.210431",2,"subgroup_loner",1,2
"4.785488",1,"subgroup_loner",1,2
"5.455238",2,"subgroup_loner",1,2
"5.458140",3,"subgroup_loner",1,2
"6.179773",1,"subgroup_loner",1,2
"6.780227",2,"subgroup_loner",1,2
"6.789297",3,"subgroup_loner",1,2
"7.421315",1,"subgroup_loner",1,2
"7.963719",3,"subgroup_loner",1,2
"8.072200",2,"subgroup_loner",1,2
"8.684989",1,"subgroup_loner",1,2
"9.306485",3,"subgroup_loner",1,2
"9.395374",2,"subgroup_loner",1,2
"9.984943",1,"subgroup_loner",1,2
"10.669207",2,"subgroup_loner",1,2
"10.671021",3,"subgroup_loner",1,2
"11.312835",1,"subgroup_loner",1,2
"11.856326",3,"subgroup_loner",1,2
"11.969523",2,"subgroup_loner",1,2
